City,Latitude,Longitude,PM25_CI,PM25_diff,Temp_CI,Temp_diff
Hsinchu,24.8066333,120.96868329999998,85.2,12.627449954568979,99.9,-9.282171122166675
Hyderabad,17.38878595,78.46106473,92.9,21.010424932872112,99.9,1.8736923464003536
Īlām,33.1545696,46.7576343,99.9,34.235516956162115,70.7,3.4457797430600507
Incheon,37.455999999999996,126.7052,83.4,20.06226038699896,97.2,-1.0297750166037185
Indianapolis,39.7683331,-86.1583502,52.8,6.214973026602621,86.8,3.9781797688314615
Isfahan,32.6707877,51.6650002,99.9,-38.294748099344304,77.8,4.318891811006939
Islamabad,33.6938118,73.0651511,94.0,-23.92756681212745,97.6,-5.0842340125577055
Istanbul,41.0096334,28.9651646,67.5,9.27305688996455,75.0,3.360640015157255
Ivano-Frankivsk,48.9225224,24.7103188,71.8,-1.5184797584074516,68.1,-3.0994226633581436
İzmit,40.765382,29.9406983,68.2,4.704928118476501,95.4,0.11750598344925225
Jackson,32.29903839999999,-90.1847691,71.2,5.053969367673481,83.1,2.792595755560715
Jacksonville,30.3321838,-81.655651,63.0,4.161199269029083,84.8,3.3439892473118253
Jaipur,26.916194,75.820349,90.6,22.443734083862,64.2,4.453613432914878
Jakarta,-6.1753942,106.827183,99.5,30.20609081403994,99.5,1.9369970480020555
Jeju City,33.3939924,126.56266529999999,97.6,17.881598832510946,99.6,-4.297839166024924
Jeonju,35.8242715,127.14806570000002,78.7,19.456724728738095,97.5,-1.882230985180934
Jerusalem,31.778345,35.2250786,84.6,12.316946790695406,71.4,2.9799302404584687
Jieyang,23.5430817,116.3497169,91.3,17.211317458959268,84.5,3.2753545840514637
Jinan,36.6507007,117.11400420000001,43.6,8.093803860210954,76.5,5.0205609911876445
Johannesburg,-26.205,28.049721999999996,90.6,14.249099854539224,99.9,-7.795313437396864
Kagoshima,31.572494,130.527873,59.5,7.730651568490836,83.3,4.215603229269797
Kamianske,48.51677479999999,34.6068797,96.3,8.064829969807715,72.2,-4.259104878096812
Kampala,0.31771370000000004,32.581353899999996,12.4,9.753286901785259,97.3,1.7978695440327783
Kanazawa,36.5780499,136.6480247,82.9,10.117298331071963,74.3,3.0702961430486475
Kaohsiung,22.6203348,120.3120375,76.1,17.233330440416125,99.9,-10.964145232594616
Karachi,24.8667795,67.0311286,97.3,-40.24667088442396,99.7,-5.063210992474339
Karaj,35.8121955,51.007385299999996,99.9,-32.51032258064517,89.4,5.958093789599356
Karlsruhe,49.006870500000005,8.4034195,48.0,0.16482603788499972,61.0,1.2797830250950373
Kassel,51.3154546,9.492409599999998,93.9,4.137875478248123,74.1,0.3150387569419859
Kathmandu,27.708316999999997,85.3205817,48.3,-1.867079640789328,66.3,3.364899913855829
Katowice,50.2598987,19.021585199999997,89.6,13.208353074437625,64.3,2.309366359447006
Kaunas,54.898213899999995,23.904481699999998,93.4,14.3863152589092,63.1,1.566283080101213
Kayseri,38.6582232,35.554637400000004,88.0,-30.714171118092143,67.3,2.538148488145147
Kecskemét,46.9080769,19.6928133,79.3,-7.832675086999687,64.0,3.601537538657112
Keelung,25.1317232,121.744652,44.9,6.839713886410209,60.9,3.0297546643197397
Kerman,29.571858000000002,57.301047,99.9,-23.336409011826163,82.5,4.547070648411861
Khorramabad,33.4842109,48.3538276,99.9,-25.407433326907025,82.4,-0.6393905621630864
Khorramshahr,30.433310499999997,48.177985799999995,79.4,-35.70220607089277,75.6,4.869524972802496
Kitchener,43.453168,-80.494423,79.9,2.8933175241517866,75.7,1.3149767079416677
Klerksdorp,-26.862538300000004,26.6656814,90.8,20.474904340581762,99.9,-7.804400343980991
Kobe,34.69323789999999,135.1943764,92.8,10.446438054900248,80.9,3.8365878479140463
Kochi,9.931308,76.2674136,38.0,6.027827816417918,76.8,2.766691425556271
Kolkata,22.54541245,88.35677516,90.9,40.119775717423074,50.0,3.502480892485348
Konya,37.8719963,32.484401500000004,93.6,-32.98766771563213,66.6,2.8703238396753363
Košice,48.7172272,21.249677399999996,55.9,3.09323348694317,93.1,-2.1411438798502207
Kraków,50.0619474,19.9368564,59.6,4.102697787936947,72.8,3.0039313808179213
Kryvyi Rih,47.9102734,33.3917703,89.4,-10.327068646345623,68.4,-3.810812241521921
Kumamoto,32.6450475,130.6341345,56.2,8.04868332538799,84.9,2.7632628296805137
Kunming,24.884301899999997,102.8324209,79.0,17.528603963704086,69.8,2.719183891747853
Kütahya,39.2522508,29.493773200000003,53.7,-8.517334528446867,77.2,3.646313421098738
Kyiv,50.4500336,30.524136100000003,78.7,1.249765347740869,74.5,-0.6529010866775025
Kyoto,35.021041,135.7556075,88.2,9.58560893870682,85.3,4.59639153903197
Lahore,31.565682199999998,74.3141829,94.8,-44.11012916618608,99.9,-3.3051213395429144
Lampang,18.6799728,99.73325009999999,75.6,11.329568471943332,99.9,-12.615471158430006
Lanzhou,36.0620781,103.8318566,60.8,-0.849856087553519,66.2,2.6422509870552098
Las Palmas de Gran Canaria,28.128874,-15.4349448,67.4,6.714504793686097,79.9,1.9990721986578488
Las Vegas,36.1672559,-115.1485163,89.3,-6.768827321362356,68.6,1.4320600614439307
Launceston,-41.434081299999995,147.1373496,69.0,-0.4353920106589726,75.4,0.9761250982980734
Leeds,53.797418500000006,-1.5437941000000002,98.6,15.132908543069826,91.9,3.1967519771663286
Leicester,52.636139799999995,-1.1330788999999999,99.8,14.972576407648711,82.5,2.0966024540902133
Lhasa,29.655389500000002,91.1704736,89.9,0.5143548590823315,58.2,2.8121102918586804
Liège,50.6451381,5.5734203,94.4,2.220945611238428,57.5,0.976822158560756
Lille,50.636565399999995,3.0635282000000004,97.8,38.26556597277399,67.9,1.254455267757827
Lima,-12.0621065,-77.03652559999999,99.9,23.754970215176016,79.3,1.1450744457618782
Linz,48.3059078,14.286198,44.7,5.334507369901154,79.2,3.7783467996593703
Lisbon,38.707750700000005,-9.1365919,68.0,-1.9274540970091607,68.1,2.003312911555959
Little Rock,34.7464809,-92.2895948,73.3,5.838133905397547,87.9,4.376673817469147
Liverpool,53.407154000000006,-2.9916650000000002,67.6,4.459471626095656,60.9,1.3868192008214244
Livorno,42.79021905,10.34028139,49.9,-0.6443663233318446,75.7,2.936822616093582
Łódź,51.768732299999996,19.456991100000003,59.5,-0.12011418874044465,73.3,2.8632811424763585
London,51.5073219,-0.1276474,91.8,4.059732496832049,73.8,2.100454322428192
Los Angeles,34.0536909,-118.2427666,60.6,-3.840860153935779,99.5,-2.2167162944582297
Los Ángeles,34.0536909,-118.2427666,99.6,19.81212391057219,86.2,-1.7473455121074792
Lucknow,26.8381,80.9346001,91.6,9.503578171920793,70.2,3.9089052162150035
Lviv,49.841952,24.0315921,98.9,-19.400983693725625,72.4,-2.9472510339123232
Lyon,45.75781370000001,4.8320114,69.7,-1.1549460735778825,68.5,1.4335770616109862
Maastricht,50.8512438,5.6909768,76.2,0.14481122696362547,59.4,1.2471943734796938
Macau,22.175760500000003,113.5514142,75.2,23.211380288232355,70.4,0.3526285392397739
Madison,43.074760999999995,-89.3837613,57.8,2.623181373687494,89.3,-0.6284857248794999
Madrid,40.416704700000004,-3.7035824999999996,50.0,2.590434752492591,74.2,3.7755219454257296
Malmö,55.6052931,13.000156599999999,72.0,5.754174489766817,96.9,2.7580570128795934
Manama,26.223504100000003,50.5822436,94.1,28.3880961548648,80.9,4.565094551536717
Manchester,53.479489199999996,-2.2451147999999996,94.6,7.030091534346255,72.8,1.5550292001287538
Manhattan,40.7896239,-73.9598939,48.0,2.8640130262766514,68.8,2.5124127409093417
Marseille,43.2961743,5.3699525,57.4,1.6361237964853004,90.5,4.586424289096146
Mashhad,36.2974945,59.60592320000001,99.6,-36.523370696785605,95.1,2.766632853417878
Matsuyama,33.83951879999999,132.7653521,97.4,12.085105204398866,76.8,3.101409623839277
Medellín,6.2443382000000005,-75.573553,77.6,-13.397488428022356,99.9,-13.892108586581536
Melbourne,-37.814217600000006,144.9631608,91.4,-1.6532389875604494,99.9,-8.491519480334272
Memphis,35.1490215,-90.0516285,87.1,6.9872909052386225,86.5,4.099566520798444
Mérida,38.917466499999996,-6.3443977,70.3,5.609347161160841,99.9,-3.5948190867345424
Metz,49.119696399999995,6.176355200000001,89.5,4.612311881149665,64.6,0.9169323933389536
Mexico City,19.4326296,-99.1331785,87.0,10.165048262823547,99.4,-2.6977457228679707
Miami,25.7742658,-80.1936589,98.3,-5.425898536020888,59.4,2.9071487061325736
Middelburg,51.50529485,3.610071005,95.7,27.373426692164173,99.9,-7.028561091485447
Milan,45.4668,9.1905,62.3,-4.524390850597,69.1,3.783463948546814
Milwaukee,43.0349931,-87.92249699999999,82.6,2.914178839329004,72.2,2.164268285477961
Miskolc,48.103150299999996,20.7901985,67.9,-4.759857859974673,58.4,2.796467483202745
Mississauga,43.590338,-79.645729,93.9,3.6300293162528954,73.1,1.3396514014350505
Miyazaki,31.907633399999998,131.4204022,86.1,9.255438558271592,76.3,3.780764065641652
Modena,44.538472799999994,10.93596087,61.1,1.2356708244995218,65.3,3.6458765213281294
Mokpo,34.7903335,126.3847547,79.3,14.420581720837559,98.7,-1.9475031638735736
Monterrey,25.680201899999997,-100.31525859999999,99.9,-53.4000004880383,97.9,-1.6300893300248198
Montpellier,43.6112422,3.8767337,45.8,4.700742493694655,65.6,2.8217261446377115
Montréal,45.4972159,-73.61036419999999,72.4,3.5531562745745227,76.3,1.2058764887318851
Morelia,19.7027116,-101.19238179999999,92.4,9.661211684126028,99.3,-2.76510173697271
Moscow,55.7504461,37.6174943,48.4,4.7050075058423175,74.1,0.2940816798206125
Mumbai,18.9387711,72.8353355,70.7,-4.501299368040193,70.2,3.4912129003736285
Muzaffarnagar,29.44800635,77.74068503,77.6,9.445041104049238,84.4,3.545955888568237
Nagano,36.1143945,138.0319015,65.3,9.482778208999004,76.8,3.780728650474488
Nagasaki,33.1154683,129.78743390000002,66.7,11.306111817363202,93.7,7.68249000059081
Nagoya,35.1851045,136.8998438,97.5,15.265058826046035,81.0,3.9040909639118797
Naha,26.2122345,127.67914520000001,24.5,5.672165348555787,80.8,3.990314159607543
Namur,50.4665284,4.8661892,96.9,4.8087011071886385,63.8,1.1123964472679706
Nanchang,28.687547,115.85400420000002,92.7,10.198099170017995,80.7,4.3148829704963205
Nancy,48.6937223,6.1834097,86.4,0.8044588411218001,66.6,1.2708648824294022
Nanjing,32.060973600000004,118.79164579999998,74.3,23.15631428082484,75.9,3.9579566042041026
Nanning,22.8193063,108.36272109999999,98.9,26.41193232610918,86.1,3.203002126905353
Nantes,47.2186371,-1.5541361999999999,66.9,3.811543778801848,75.0,1.8831568694560907
Naples,40.835933600000004,14.2487826,87.4,-9.314414876928787,77.3,3.2238867708116814
Nara-shi,34.6845445,135.80483590000003,84.1,9.775238105424428,85.0,4.6680001568694545
Nashik,20.0112475,73.79023640000001,58.4,3.9150636740592257,65.6,2.3733539545363844
Nashville,36.1622296,-86.7743531,92.3,9.19442265928361,93.2,5.210269920044119
Netanya,32.32861810000001,34.8566246,76.7,11.320583676612598,71.7,2.9867069301666116
New Delhi,28.613895399999997,77.2090057,70.4,12.214315152774534,75.5,4.066933881221974
Newcastle,54.97384739999999,-1.6131572,98.2,7.5772468595549824,58.0,1.1502944317454826
Newport,41.489982700000006,-71.3137707,83.4,6.053791066182612,70.4,1.9303939277259623
Nice,43.700935799999996,7.2683912,90.3,10.28858432446308,80.6,1.8990546924339995
Nicosia,35.1739302,33.364726,99.8,15.682979908486011,91.7,1.137803989781073
Niigata,37.6452283,138.7669125,91.1,13.078312543037226,79.9,3.276713680646377
Nijmegen,51.84257485,5.838960629,85.8,1.7128382981497552,50.9,1.5983072502210405
Nîmes,43.8374249,4.3600687,86.5,-0.4671961223796615,67.7,2.9384337949777297
Ningbo,29.862219399999997,121.62038729999999,80.3,15.421885576710837,95.8,8.068150796367151
Niš,43.321504,21.8957301,67.0,-9.526598983608169,63.2,3.3227903877731464
Norwich,52.628606000000005,1.29227,89.5,3.142018645055352,65.3,1.7230100437197216
Novi Sad,45.255133799999996,19.8451756,72.2,-8.415956679582933,86.6,2.249014177331752
Nur-Sultan,51.128220500000005,71.4306682,98.8,28.370954114891823,73.6,-0.9898865833832459
Oakland,37.804455700000005,-122.27135630000001,87.6,-4.2518166705374725,72.1,1.000214108472168
Oaxaca,17.0,-96.5,96.9,-4.8891227851783166,99.7,-4.35921908347493
Odessa,46.4873195,30.7392776,95.1,11.022231726560983,74.9,-3.828474552913193
Ōita,33.1819875,131.42702169999998,65.7,6.727620096810881,87.7,1.9942163402967097
Okayama,34.6553944,133.9194595,86.6,9.238126927762638,71.7,1.8586692061183143
Oklahoma City,35.4729886,-97.5170536,96.9,3.6865740118242907,88.5,2.2397665721375404
Olomouc,49.5940567,17.251143,22.3,2.122714179776473,68.9,3.0223926079852617
Omaha,41.258745899999994,-95.93837579999999,97.7,4.442373923814415,67.2,2.2856631809051144
Orléans,47.9027336,1.9086066000000002,92.3,4.930877715165806,71.9,2.0349124342472464
Osaka,34.619881299999996,135.49035700000002,94.1,10.067418988130896,82.1,3.7061834904065134
Oslo,59.97239745,10.77572919,92.5,4.969366654850521,52.2,0.5384680006682192
